Platform,ID,Title,Members,Views,Likes,Comments,Favorites,Shares,Date,URL
TIKTOK,7250706420297927954,If we ever broke up,GROUP/UNKNOWN,60600000,7200000,83400,,155600,2023-07-01,https://www.tiktok.com/@ive.official/video/7250706420297927954
TIKTOK,7558837558579383559,Sugar performance,GROUP/UNKNOWN,47700000,5600000,41900,,245600,2025-10-08,https://www.tiktok.com/@ive.official/video/7558837558579383559
TIKTOK,7526519516029865224,I am Golden ⚜️ #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル #REI #레이 #レイ #LIZ #리즈 #リズ #Lollapalooza #Lolla #Golden #KpopDemonHunters ,REI/GAEUL/LIZ,35800000,3600000,23800,,108000,2025-07-13,https://www.tiktok.com/@ive.official/video/7526519516029865224
TIKTOK,7330419102734880018,All Night Challenge with ENHYPEN,GROUP/UNKNOWN,34400000,4600000,37500,,51600,2024-02-01,https://www.tiktok.com/@ive.official/video/7330419102734880018
TIKTOK,7495688453804412178,렝렝렝 SAHUR 🪵 #IVE #아이브 #アイヴ #REI #레이 #レイ,REI,32500000,3100000,22700,,313500,2025-04-21,https://www.tiktok.com/@ive.official/video/7495688453804412178
TIKTOK,7221116118855945473,가을 원영 장르로는 GALAXY~💫  #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 #GAEUL #가을 #JANGWONYOUNG #장원영,WONYOUNG/GAEUL,30600000,2300000,11100,,25200,2023-04-12,https://www.tiktok.com/@ive.official/video/7221116118855945473
TIKTOK,7398100839224626437,𝑺𝒘𝒆𝒆𝒕 𝑬𝒔𝒑𝒓𝒆𝒔𝒔𝒐 ☕🩶 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン,WONYOUNG,29600000,3900000,30400,,118600,2024-08-01,https://www.tiktok.com/@ive.official/video/7398100839224626437
TIKTOK,7190623071777099009,🐰🐈‍⬛💕 #IVE #아이브 #JANGWONYOUNG #장원영 #LIZ #리즈 #LOVEDIVE #러브다이브 #LOVEDIVEJPチャレンジ #LOVEDIVEJPChallenge,WONYOUNG/LIZ,28500000,2300000,23600,,19300,2023-01-20,https://www.tiktok.com/@ive.official/video/7190623071777099009
TIKTOK,7398433346507885840,Cuteness Overload with IVE and REI,REI,28100000,4300000,67300,,259500,2024-08-02,https://www.tiktok.com/@ive.official/video/7398433346507885840
TIKTOK,7467200190676503826,생일을 맞은 ATTITUDE 🍓໒꒱ ‧₊˚ #IVE #아이브 #アイヴ #REI #레이 #レイ #HappyREIday #어디에서도_레이생일_지키기 🪽 #IVE_EMPATHY #ATTITUDE #IVE_ATTITUDE #REBELHEART #IVE_REBELHEART #ATTITUDEchallenge #IVE가_정할게_ATTITUDE ❤️‍🩹 #NewMusic,REI,26900000,691400,5118,,16100,2025-02-03,https://www.tiktok.com/@ive.official/video/7467200190676503826
TIKTOK,7467173766922226962,Valentine's Day ATTITUDE🍭 #IVE #아이브 #アイヴ  #IVE_EMPATHY  #ATTITUDE #IVE_ATTITUDE  #REBELHEART #IVE_REBELHEART  #ATTITUDEchallenge  #IVE가_정할게_ATTITUDE ❤‍🩹  #NewMusic #ValentinesDay #valentinesong,GROUP/UNKNOWN,25900000,1000000,5438,,17800,2025-02-03,https://www.tiktok.com/@ive.official/video/7467173766922226962
TIKTOK,7412488129908706576,🚨Ｅｍｅｒｇｅｎｃｙ🚨 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영  #ジャンウォニョン #ウォニョン,WONYOUNG,25700000,3000000,28400,,79200,2024-09-09,https://www.tiktok.com/@ive.official/video/7412488129908706576
TIKTOK,7416703890688724231,김가을 🌟 걷는 모든 곳이 Runway 🎬 #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル,GAEUL,25300000,2600000,24000,,44500,2024-09-20,https://www.tiktok.com/@ive.official/video/7416703890688724231
