Platform,Month,Member,VideoCount,TotalMetric,AvgMetric
TIKTOK,2021-12,WONYOUNG,3,10600000,3533333
TIKTOK,2022-04,WONYOUNG,4,33600000,8400000
TIKTOK,2022-05,WONYOUNG,1,3600000,3600000
TIKTOK,2022-06,WONYOUNG,1,24000000,24000000
TIKTOK,2022-07,WONYOUNG,1,11700000,11700000
TIKTOK,2022-08,WONYOUNG,1,11200000,11200000
TIKTOK,2022-09,WONYOUNG,1,3900000,3900000
TIKTOK,2022-12,WONYOUNG,3,12500000,4166667
TIKTOK,2023-01,WONYOUNG,2,32300000,16150000
TIKTOK,2023-02,WONYOUNG,1,15400000,15400000
TIKTOK,2023-03,WONYOUNG,1,6600000,6600000
TIKTOK,2023-04,WONYOUNG,5,64100000,12820000
TIKTOK,2023-05,WONYOUNG,1,4500000,4500000
TIKTOK,2023-06,WONYOUNG,1,5600000,5600000
TIKTOK,2023-08,WONYOUNG,1,12000000,12000000
TIKTOK,2023-09,WONYOUNG,2,6300000,3150000
TIKTOK,2023-10,WONYOUNG,3,22800000,7600000
TIKTOK,2023-11,WONYOUNG,2,13100000,6550000
TIKTOK,2023-12,WONYOUNG,1,1500000,1500000
TIKTOK,2024-01,WONYOUNG,1,17500000,17500000
TIKTOK,2024-02,WONYOUNG,5,11797100,2359420
TIKTOK,2024-04,WONYOUNG,4,27700000,6925000
TIKTOK,2024-05,WONYOUNG,10,37998500,3799850
TIKTOK,2024-06,WONYOUNG,1,1100000,1100000
TIKTOK,2024-07,WONYOUNG,5,33600000,6720000
TIKTOK,2024-08,WONYOUNG,6,72900000,12150000
TIKTOK,2024-09,WONYOUNG,2,36000000,18000000
TIKTOK,2024-10,WONYOUNG,1,24600000,24600000
TIKTOK,2024-11,WONYOUNG,2,3300000,1650000
TIKTOK,2024-12,WONYOUNG,2,10000000,5000000
TIKTOK,2025-01,WONYOUNG,8,69066700,8633338
TIKTOK,2025-02,WONYOUNG,11,50937900,4630718
TIKTOK,2025-06,WONYOUNG,1,5200000,5200000
TIKTOK,2025-07,WONYOUNG,2,2700000,1350000
TIKTOK,2025-08,WONYOUNG,3,4433700,1477900
TIKTOK,2025-09,WONYOUNG,4,14911300,3727825
TIKTOK,2025-10,WONYOUNG,1,6300000,6300000
TIKTOK,2025-11,WONYOUNG,2,17200000,8600000
TIKTOK,2025-12,WONYOUNG,1,2000000,2000000
TIKTOK,2026-01,WONYOUNG,3,13354600,4451533
TIKTOK,2026-02,WONYOUNG,1,226200,226200
TIKTOK,2021-12,YUJIN,4,10100000,2525000
TIKTOK,2022-01,YUJIN,1,2100000,2100000
TIKTOK,2022-04,YUJIN,7,32982699,4711814
TIKTOK,2022-05,YUJIN,2,9400000,4700000
TIKTOK,2022-06,YUJIN,1,16700000,16700000
TIKTOK,2022-07,YUJIN,2,12900000,6450000
TIKTOK,2022-08,YUJIN,2,9700000,4850000
TIKTOK,2022-09,YUJIN,4,9500000,2375000
TIKTOK,2022-10,YUJIN,1,2400000,2400000
TIKTOK,2022-12,YUJIN,5,17900000,3580000
TIKTOK,2023-01,YUJIN,3,18100000,6033333
TIKTOK,2023-03,YUJIN,5,50899999,10180000
TIKTOK,2023-04,YUJIN,7,34800000,4971429
TIKTOK,2023-05,YUJIN,3,13300000,4433333
TIKTOK,2023-06,YUJIN,4,36100000,9025000
TIKTOK,2023-07,YUJIN,3,23600000,7866667
TIKTOK,2023-09,YUJIN,6,14100000,2350000
TIKTOK,2023-10,YUJIN,10,41900000,4190000
TIKTOK,2023-11,YUJIN,4,10000000,2500000
TIKTOK,2023-12,YUJIN,4,30900000,7725000
TIKTOK,2024-01,YUJIN,7,23995300,3427900
TIKTOK,2024-02,YUJIN,1,5600000,5600000
TIKTOK,2024-03,YUJIN,7,46600000,6657143
TIKTOK,2024-04,YUJIN,7,35000000,5000000
TIKTOK,2024-05,YUJIN,16,37601500,2350094
TIKTOK,2024-06,YUJIN,5,6138800,1227760
TIKTOK,2024-07,YUJIN,6,22000000,3666667
TIKTOK,2024-08,YUJIN,5,13300000,2660000
TIKTOK,2024-09,YUJIN,1,5600000,5600000
TIKTOK,2024-10,YUJIN,5,18000000,3600000
TIKTOK,2024-11,YUJIN,6,19902599,3317100
TIKTOK,2024-12,YUJIN,3,8200000,2733333
TIKTOK,2025-01,YUJIN,15,66037000,4402467
TIKTOK,2025-02,YUJIN,12,26967300,2247275
TIKTOK,2025-03,YUJIN,4,19300000,4825000
TIKTOK,2025-04,YUJIN,1,8500000,8500000
TIKTOK,2025-05,YUJIN,3,4621700,1540567
TIKTOK,2025-06,YUJIN,4,11600000,2900000
TIKTOK,2025-07,YUJIN,4,16963500,4240875
TIKTOK,2025-08,YUJIN,5,2306500,461300
TIKTOK,2025-09,YUJIN,8,12629900,1578738
TIKTOK,2025-10,YUJIN,2,1962300,981150
TIKTOK,2025-11,YUJIN,2,16500000,8250000
TIKTOK,2025-12,YUJIN,8,6205200,775650
TIKTOK,2026-01,YUJIN,5,6820200,1364040
TIKTOK,2026-02,YUJIN,1,888900,888900
TIKTOK,2021-12,REI,4,14400000,3600000
TIKTOK,2022-01,REI,2,5600000,2800000
TIKTOK,2022-04,REI,6,23000000,3833333
TIKTOK,2022-05,REI,2,11100000,5550000
TIKTOK,2022-06,REI,2,27700000,13850000
TIKTOK,2022-07,REI,2,12900000,6450000
TIKTOK,2022-08,REI,5,19600000,3920000
TIKTOK,2022-09,REI,2,8100000,4050000
TIKTOK,2022-10,REI,1,2400000,2400000
TIKTOK,2022-12,REI,4,29800000,7450000
TIKTOK,2023-01,REI,3,17600000,5866667
TIKTOK,2023-02,REI,2,22700000,11350000
