Platform,Rank,Member,Value,Title,URL
TIKTOK,1,GROUP/UNKNOWN,60600000,If we ever broke up,https://www.tiktok.com/@ive.official/video/7250706420297927954
TIKTOK,2,GROUP/UNKNOWN,47700000,Sugar performance,https://www.tiktok.com/@ive.official/video/7558837558579383559
TIKTOK,3,REI/GAEUL/LIZ,35800000,I am Golden ⚜️ #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル #REI #레이 #レイ #LIZ #리즈 #リズ #Lollapa,https://www.tiktok.com/@ive.official/video/7526519516029865224
TIKTOK,4,GROUP/UNKNOWN,34400000,All Night Challenge with ENHYPEN,https://www.tiktok.com/@ive.official/video/7330419102734880018
TIKTOK,5,REI,32500000,렝렝렝 SAHUR 🪵 #IVE #아이브 #アイヴ #REI #레이 #レイ,https://www.tiktok.com/@ive.official/video/7495688453804412178
TIKTOK,6,WONYOUNG/GAEUL,30600000,가을 원영 장르로는 GALAXY~💫  #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 ,https://www.tiktok.com/@ive.official/video/7221116118855945473
TIKTOK,7,WONYOUNG,29600000,𝑺𝒘𝒆𝒆𝒕 𝑬𝒔𝒑𝒓𝒆𝒔𝒔𝒐 ☕🩶 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン,https://www.tiktok.com/@ive.official/video/7398100839224626437
TIKTOK,8,WONYOUNG/LIZ,28500000,🐰🐈‍⬛💕 #IVE #아이브 #JANGWONYOUNG #장원영 #LIZ #리즈 #LOVEDIVE #러브다이브 #LOVEDIVEJPチャレンジ #L,https://www.tiktok.com/@ive.official/video/7190623071777099009
TIKTOK,9,REI,28100000,Cuteness Overload with IVE and REI,https://www.tiktok.com/@ive.official/video/7398433346507885840
TIKTOK,10,REI,26900000,생일을 맞은 ATTITUDE 🍓໒꒱ ‧₊˚ #IVE #아이브 #アイヴ #REI #레이 #レイ #HappyREIday #어디에서도_레이생일_지키기,https://www.tiktok.com/@ive.official/video/7467200190676503826
TIKTOK,11,GROUP/UNKNOWN,25900000,Valentine's Day ATTITUDE🍭 #IVE #아이브 #アイヴ  #IVE_EMPATHY  #ATTITUDE #IVE_ATTITUDE ,https://www.tiktok.com/@ive.official/video/7467173766922226962
TIKTOK,12,WONYOUNG,25700000,🚨Ｅｍｅｒｇｅｎｃｙ🚨 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영  #ジャンウォニョン #ウォニョン,https://www.tiktok.com/@ive.official/video/7412488129908706576
TIKTOK,13,GAEUL,25300000,김가을 🌟 걷는 모든 곳이 Runway 🎬 #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル,https://www.tiktok.com/@ive.official/video/7416703890688724231
TIKTOK,14,WONYOUNG,24600000,Kore Watashino STYLE💋💋 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영  #ジャンウォニョン #ウォニョン,https://www.tiktok.com/@ive.official/video/7426178350994951431
TIKTOK,15,WONYOUNG,24000000,원영이와 함께라면 언제나 Peace and Love 💕#DearCupidchallenge #디어큐피드챌린지 #IVE #아이브 #JANGWONYO,https://www.tiktok.com/@ive.official/video/7107548904505330946
TIKTOK,16,GAEUL,23500000,𝒍𝒊𝒌𝒆 𝑮𝑨𝑬𝑼𝑳 #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル,https://www.tiktok.com/@ive.official/video/7483752088669785362
TIKTOK,17,YUJIN/GAEUL/LIZ/LEESEO,23300000,아이브 첫눈 챌린지 보면 눈물 차 올라 🥹🤍 아무 말 못해 🫢🤍 #IVE #아이브 #アイヴ  #ANYUJIN #안유진 #アンユジン #ユジン #G,https://www.tiktok.com/@ive.official/video/7313377355844603138
TIKTOK,18,GROUP/UNKNOWN,23000000,"Kitsch, Kitsch, Kitsch, Kitsch, Kitsch, Kitsch, Kitsch! 🕶  #Kitsch #KitschChalle",https://www.tiktok.com/@ive.official/video/7215936477006433537
TIKTOK,19,GROUP/UNKNOWN,22600000,IVE가 정할게 👑🖤  #IVE #아이브 #アイヴ  #IVE_EMPATHY #ATTITUDE #IVE_ATTITUDE #REBELHEART #I,https://www.tiktok.com/@ive.official/video/7468289573928406279
